Altium Designer Pick and Place Locations
C:\Users\james\School\5730\Board3\Project Outputs for Board3\Pick Place for PCB3.csv

========================================================================================================================
File Design Information:

Date:       07/04/24
Time:       00:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","LCSC Part#"
"TP9b","SCL","TopLayer","TP10x_Probe","2505.157","2581.064","0","Test Point 300 mil centers",""
"TP9a","SDA","TopLayer","TP10x_Probe","2505.000","2770.000","0","Test Point 300 mil centers",""
"C10","22uF","TopLayer","1206_Passive_Capacitor","1620.000","2300.000","225","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12891"
"R12","1M","TopLayer","1206_Passive_Resitor","2650.000","3320.000","180","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS","C17927"
"C2","22uF","TopLayer","1206_Passive_Capacitor","2640.000","3190.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12891"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","1805.000","2110.000","225","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS","C1051"
"J5","PPTC061LFBN-RC","TopLayer","6_PIN_ARD-Analog_100mil","1000.000","1250.000","270","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin","C40877"
"TP3b","0.5O-","TopLayer","TP10x_Probe","2020.000","2580.000","0","Test Point 300 mil centers",""
"TP3a","0.5O+","TopLayer","TP10x_Probe","2020.000","2770.000","0","Test Point 300 mil centers",""
"R10","500m","TopLayer","1206_Passive_Resitor","1740.000","2780.000","90","Resistors/Shunt 250mW 500mO ±800ppm/? ±5% 1206  Current Sense  Resistors ROHS","C247433"
"R6","1k","TopLayer","1206_Passive_Resitor","2148.998","393.004","97.5","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS","C4410"
"R4","1k","TopLayer","1206_Passive_Resitor","1751.600","393.004","82.5","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS","C4410"
"PS1","AMS1117-5.0","TopLayer","LDO","1570.000","3355.079","0","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 1A 15V 5V 1A SOT-223 ROHS","C6187"
"LED6","White","TopLayer","LED_1206","2182.337","135.228","97.5","White light 1206  Light Emitting Diodes (LED) ROHS","C130718"
"LED4","+5V","TopLayer","LED_1206","1717.663","135.228","82.5","yellow 1206  Light Emitting Diodes (LED) ROHS","C93094"
"C4","22uF","TopLayer","1206_Passive_Capacitor","1454.000","3119.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12891"
"C14","22pF","TopLayer","1206_Passive_Capacitor","2651.000","3415.000","180","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C107174"
"C11","22pF","TopLayer","1206_Passive_Capacitor","2871.000","3415.000","0","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C107174"
"C9","22uF","TopLayer","1206_Passive_Capacitor","2101.000","3116.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12891"
"C8","22uF","BottomLayer","1206_Passive_Capacitor","2195.000","1615.000","135","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12891"
"C6","22uF","TopLayer","1206_Passive_Capacitor","1695.983","2215.795","45","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12891"
"TP8b","MOSI","TopLayer","TP10x_Probe","1800.000","1350.000","90","Test Point 300 mil centers",""
"TP8a","MISO","TopLayer","TP10x_Probe","1600.000","1350.000","90","Test Point 300 mil centers",""
"TP6b","328 TX","TopLayer","TP10x_Probe","2500.000","1100.000","180","Test Point 300 mil centers",""
"TP6a","328 RX","TopLayer","TP10x_Probe","2500.000","1300.000","180","Test Point 300 mil centers",""
"R2","1k","TopLayer","1206_Passive_Resitor","1368.321","495.703","67.5","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS","C4410"
"LED2","USB","TopLayer","LED_1206","1268.823","255.494","67.5","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS","C93133"
"LED1","Power","TopLayer","LED_1206","1060.000","358.475","60","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS","C93133"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","2291.392","1833.608","45","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS","C13738"
"Y1","12MHz","TopLayer","Crystal_resonator","2617.000","3541.968","180","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS","C9002"
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","1955.971","1898.306","315","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)","C14877"
"U1","CH340G","TopLayer","USB_to_serial","2313.000","3415.000","90","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS","C14267"
"TP7a","D-","TopLayer","TP10x_Probe","2960.000","3260.000","0","Test Point 300 mil centers",""
"TP7b","D+","TopLayer","TP10x_Probe","2960.000","3080.000","0","Test Point 300 mil centers",""
"TP4","+5V","TopLayer","TP10x_Probe","1305.000","2764.000","0","Test Point 300 mil centers",""
"TP5","+3.3V","TopLayer","TP10x_Probe","1309.000","2580.000","0","Test Point 300 mil centers",""
"BTN1","BTN_RST","TopLayer","Switch_JLC","1650.079","949.055","180","Tactile Switch SPST-NO Top Actuated Surface Mount","C2837550"
"SW2","SW_USB","TopLayer","2Pin-Header-Conn","2305.000","2964.000","0","2Pin Header","C124375"
"SW3","SW_VCC","TopLayer","2Pin-Header-Conn","1605.000","2964.000","0","2Pin Header","C124375"
"SW1","SW_V_SELECT","TopLayer","3_PIN_100mil","1955.000","2964.000","0","Connector Header Through Hole 3 position 0.100" (2.54mm)","C49257"
"R13","1M","TopLayer","1206_Passive_Resitor","2540.000","1840.000","90","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS","C17927"
