Comment,Description,Designator,Footprint,LibRef,Quantity

"BTN_RST","Tactile Switch SPST-NO Top Actuated Surface Mount","BTN1","Switch_JLC","SW_Push_Button_JLC","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C1","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C2","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C3","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C4","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C5","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C6","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C7","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C8","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C9","1206_Passive_Capacitor","C_22uF_1206","1"
"22uF","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C10","1206_Passive_Capacitor","C_22uF_1206","1"
"22pF","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C11","1206_Passive_Capacitor","C_22pF_1206","1"
"22pF","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C12","1206_Passive_Capacitor","C_22pF_1206","1"
"1uF","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS","C13","1206_Passive_Capacitor","C_1uF_1206","1"
"22pF","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C14","1206_Passive_Capacitor","C_22pF_1206","1"
"22pF","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C15","1206_Passive_Capacitor","C_22pF_1206","1"
"SRV05-4-P-T7","TVS SOT-23-6 ROHS","D1","TVS","D_TVS_Diode","1"
"NRPN032PAEN-RC","Connector Header Through Hole 6 position 0.079"" (2.00mm)","J1","ICSP","J_ICSP","1"
"J_USB_B_Micro","Micro Usb, 2.0 Type b, Rcpt, Smt","J2","AMPHENOL_10118194-0001LF","J_USB_B_Micro","1"
"PPTC101LFBN-RC","10 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J3","10_PIN_ARDUINO_100MIL","JF_10_PIN_FEMA_ARDUINO","1"
"PPTC081LFBN-RC","8 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J4","8_PIN_ARD-DIG_100MIL","JF_8_PIN_FEMA_ARD-Dig","1"
"PPTC061LFBN-RC","6 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J5","6_PIN_ARD-Analog_100mil","JF_6_PIN_FEMA_ARD-Anolog","1"
"PPTC081LFBN-RC","8 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J6","8_PIN_ARD-PWR_100MIL","JF_8_PIN_FEMA_ARD-Pwr","1"
"PPTC101LFBN-RC","10 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J7","10_PIN_ARDUINO_100MIL","JF_10_PIN_FEMA_ARDUINO","1"
"PPTC081LFBN-RC","8 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J8","8_PIN_ARD-PWR_100MIL","JF_8_PIN_FEMA_ARD-Pwr","1"
"PPTC061LFBN-RC","6 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J9","6_PIN_ARD-Analog_100mil","JF_6_PIN_FEMA_ARD-Anolog","1"
"PPTC081LFBN-RC","8 Position Header Connector 0.100"" (2.54mm) Through Hole Tin","J10","8_PIN_ARD-DIG_100MIL","JF_8_PIN_FEMA_ARD-Dig","1"
"FB_10uH_1206","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS","L1","AIML-1206_ABR-M","FB_10uH_1206","1"
"Power","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS","LED1","LED_1206","LED_RED_1206","1"
"USB","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS","LED2","LED_1206","LED_RED_1206","1"
"VIN","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS","LED3","LED_1206","LED_RED_1206","1"
"+5V","yellow 1206  Light Emitting Diodes (LED) ROHS","LED4","LED_1206","LED_YELLOW_1206","1"
"+3.3V","yellow 1206  Light Emitting Diodes (LED) ROHS","LED5","LED_1206","LED_YELLOW_1206","1"
"ON/OFF","yellow 1206  Light Emitting Diodes (LED) ROHS","LED6","LED_1206","LED_YELLOW_1206","1"
"RX","blue 1206  Light Emitting Diodes (LED) ROHS","LED7","LED_1206","LED_BLUE_1206","1"
"TX","blue 1206  Light Emitting Diodes (LED) ROHS","LED8","LED_1206","LED_BLUE_1206","1"
